uur,vx_c,vx_b,vx_ster
2621,-59266.03685131946,-35836.90696635476,545.309554793172
2622,-50790.89298461503,-33746.81684241819,517.4284282080191
2623,-28542.07027529386,-31221.971049486907,461.61889485974723
2624,723.843115224292,-28307.31681001185,390.5932174914748
2625,24517.961579355087,-25048.2085318325,327.6273503168334
2626,38523.65352118389,-21491.95981150664,280.9520181259463
2627,44839.3277135337,-17686.52843112755,246.98252504692252
2628,46300.72896979203,-13679.730438695735,220.77486043135062
2629,44843.09557510387,-9518.96905224218,199.0417024102235
2630,41598.94860621762,-5251.197093197318,179.9720283842378
2631,37205.257840147126,-922.9998567854573,162.6656726371889
2632,32015.783995989317,3419.252257008906,146.74299841969219
2633,26222.34771626907,7729.213245821917,132.12258749855468
2634,19921.280646655377,11960.358977251737,118.89999792865581
2635,13150.02844286838,16065.796707840418,107.28144382370314
2636,5908.090093936488,19998.1109909926,97.54612065746895
2637,-1829.5014412556711,23709.27189681773,90.0219069045635
2638,-10100.27026352915,27150.634012925686,85.06342857445534
2639,-18937.278848365168,30273.057866598527,83.01999103484795
2640,-28335.187175852785,33027.188738200675,84.17140935633795
2641,-38173.755918055285,35363.930639989885,88.5842873308697
2642,-48040.87053401355,37235.15451255245,95.78179718076889
2643,-56835.3792001136,38594.67791742877,104.00619042497726
2644,-61997.68410167762,39399.54604674521,108.79370556951929
2645,-58740.18946611363,39611.625524518124,101.54737613978514
2646,-42166.51627541719,39199.485313211284,73.43047641758073
2647,-15292.709335632586,38140.494820742526,30.132643610887293
2648,10459.283654314771,36423.090695892344,-7.234229639783919
2649,28205.796576253913,34049.17337499521,-25.99868973123884
2650,38186.03300332612,31036.398671234674,-26.705068877537094
2651,42712.53811908382,27420.02205427642,-13.820955276871974
2652,43721.61130405417,23253.94522523866,8.76983456681019
2653,42458.09651580055,18610.62009941088,38.34856798655333
2654,39665.366849654354,13579.606545346338,73.02002908120559
2655,35777.1488454543,8264.839630853821,111.37513572165187
2656,31041.540998290147,2780.8660499288335,152.2845330236396
2657,25593.221480597495,-2751.6318710293617,194.79182513887102
2658,19494.365314286217,-8210.705248567425,238.0667643161044
2659,12758.041223156524,-13478.05199683064,281.39097962373484
2660,5362.559438171001,-18443.5917664795,324.1583917227138
2661,-2737.280393329389,-23009.339735022753,365.8772240411195
2662,-11595.78344014036,-27092.3074243086,406.16048565032014
2663,-21248.289519552796,-30626.299723040738,444.684800604914
2664,-31647.10708213959,-33562.64211926321,481.07663940074883
2665,-42511.859142270456,-35870.05001602175,514.6358263018113
2666,-52994.4309116426,-37533.983351529634,543.7144444101824
2667,-61034.663420737226,-38555.305415301766,564.5218812902701
2668,-62652.1004575047,-38945.91963698564,569.7943222060892
2669,-53063.03338105972,-38722.92123493221,550.8184933956604
2670,-32185.090669402813,-37910.650640283406,507.58548133080285
2671,-7690.949148425068,-36542.53406723859,454.42775455594654
2672,12726.879067856702,-34658.05423586102,405.7498710569045
2673,26762.044416459143,-32300.326362224725,366.05413147793297
2674,35289.81859263379,-29514.8233915239,333.9947896118111
2675,39791.11108840478,-26348.546116478694,307.1192264690214
2676,41465.19164292855,-22849.42386716861,283.4991712996053
2677,41131.494491793805,-19065.90284431557,261.90920345273963
2678,39318.34806113965,-15046.699311332004,241.66182650809324
2679,36356.83007970678,-10840.692339294881,222.43391824266487
2680,32447.307571468045,-6496.928797182995,204.14416527746226
2681,27701.828844522093,-2064.7131607778156,186.8754862838732
2682,22170.160774090866,2406.2446321713733,170.82792809656237
2683,15855.734780820902,6865.649513650392,156.29034095737197
2684,8726.103343731056,11262.43614051314,143.62219980316152
2685,722.059812413655,15544.605632495857,133.2377598918338
2686,-8228.898508704977,19659.113592130492,125.58190933141043
2687,-18183.8611324335,23551.84180076713,121.07744072347266
2688,-29116.620302326402,27167.68969684607,119.99944326822516
2689,-40758.01967321063,30450.8256964822,122.1796829624294
2690,-52242.87323676385,33345.141805214305,126.3534107922352
2691,-61453.566343341765,35794.95656004659,128.9458744271938
2692,-64368.86368611958,37746.00966582474,122.86671142830617
2693,-56336.305803519754,39146.78639337362,99.84646588050023
2694,-37304.25658075143,39950.2024538653,60.06633125015631
2695,-14198.599914312665,40115.65802647939,16.52497010871364
2696,5948.953708013247,39611.40271004465,-17.635913492575263
2697,20658.576475573525,38417.09650920857,-37.72806256333021
2698,30353.454013937167,36526.42425780033,-44.49410040383839
2699,36188.30659072835,33949.52703277098,-40.12102328257751
2700,39191.27582183197,30714.90735021646,-26.67037623460164
2701,40103.8888978307,26870.44855107967,-5.789382471298172
2702,39422.30863441861,22483.30096908483,21.21372474420624
2703,37465.8465197095,17638.56578011548,53.25119650295896
2704,34431.27450228564,12436.842959372958,89.37009368521547
2705,30429.2745740694,6990.778192433178,128.7053970393681
